Vivado Simulator 2019.1
Time resolution is 1 ps
Time =                    0 | reset = 1 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = xxxx | cathodes = xxxxxxx
Time =         124000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         125000090000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         126000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1111 | cathodes = 0000001
Time =         126000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         128000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1101 | cathodes = 0000001
Time =         130000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         132000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1111 | cathodes = 0000001
Time =         132000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         134000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1101 | cathodes = 0000001
Time =         135000090000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0000001
Time =         136000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         138000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0000001
Time =         138000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         140000020000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         140000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0000001
Time =         142000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         144000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0000001
Time =         144000050000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         145000090000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         145000110000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1110 | cathodes = 1000010
Time =         146000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1101 | cathodes = 1101010
Time =         148000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =         150000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =         150000050000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1110 | cathodes = 1000010
Time =         152000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1101 | cathodes = 1101010
Time =         154000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =         155000110000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =         156000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =         156000050000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1000010
Time =         158000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1101010
Time =         160000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =         162000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =         162000050000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1000010
Time =         164000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1101010
Time =         166000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =         168000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =         168000050000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1000010
Time =         170000020000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1000010
Time =         170000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1101010
Time =         172000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0110000
Time =         174000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0110000
Time =         174000050000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1000010
Time =         175000130000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110001
Time =         176000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1000010
Time =         178000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1001111
Time =         180000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1001111
Time =         180000050000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110001
Time =         182000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1000010
Time =         184000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1001111
Time =         185000130000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1001111
Time =         185000150000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         186000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         186000050000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         188000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         190000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         192000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         192000050000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         194000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         196000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         198000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         198000050000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         200000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         202000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         204000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         204000050000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         206000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         208000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         210000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         210000050000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         212000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         214000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         216000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         216000050000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         218000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         220000020000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         220000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         222000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         222000050000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         224000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         226000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         228000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         228000050000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         230000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         232000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         234000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         234000050000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         236000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         238000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
Time =         240000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1000010
Time =         240000050000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =         242000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =         244000030000 | reset = 0 | sensor = 0101 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
