Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_3 collision detected at time: 985000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 995000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1005000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1015000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1025000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1035000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1045000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1055000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1065000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1075000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1085000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1095000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1105000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1115000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1125000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1135000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1145000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1155000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1165000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1175000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1185000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
